A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.737	0.678	0.659	0.09	0.791	0.782	0.748	0.09	0.089	0.089	0.09	0.09	0.785	0.697	0.671	0.09	0.748	0.787	0.768	0.089	0.089	0.09	0.09	0.091	0.752	0.668	0.639	0.09	0.764	0.818	0.759	0.09	0.09	0.091	0.09	0.09	0.72	0.714	0.662	0.09	0.774	0.804	0.772	0.09	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.089	0.09	0.091	0.09	0.089	0.09	0.092	0.09	0.092	0.092	0.09	0.09	0.092	0.091	0.09	0.089
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.74	0.679	0.665	0.09	0.793	0.783	0.748	0.09	0.089	0.089	0.09	0.09	0.788	0.701	0.672	0.09	0.749	0.785	0.77	0.089	0.089	0.09	0.09	0.091	0.753	0.67	0.647	0.09	0.765	0.817	0.763	0.09	0.09	0.091	0.09	0.09	0.718	0.713	0.66	0.09	0.774	0.804	0.774	0.09	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.09	0.092	0.09	0.092	0.092	0.09	0.09	0.092	0.091	0.091	0.089
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.735	0.68	0.662	0.091	0.794	0.78	0.748	0.09	0.089	0.089	0.09	0.09	0.787	0.703	0.666	0.09	0.746	0.787	0.769	0.089	0.089	0.09	0.09	0.091	0.749	0.667	0.643	0.09	0.766	0.821	0.765	0.09	0.09	0.091	0.09	0.09	0.715	0.712	0.664	0.09	0.773	0.803	0.778	0.09	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.093	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.09	0.092	0.09	0.092	0.092	0.091	0.09	0.092	0.09	0.091	0.089
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.736	0.676	0.663	0.09	0.792	0.782	0.748	0.09	0.089	0.089	0.09	0.09	0.787	0.702	0.67	0.09	0.75	0.789	0.768	0.089	0.089	0.09	0.09	0.091	0.75	0.667	0.65	0.09	0.763	0.818	0.761	0.09	0.09	0.091	0.09	0.09	0.714	0.712	0.66	0.09	0.773	0.804	0.776	0.09	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.094	0.09	0.089	0.093	0.091	0.091	0.089
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.733	0.676	0.657	0.09	0.794	0.783	0.743	0.09	0.089	0.089	0.09	0.09	0.786	0.702	0.669	0.09	0.749	0.787	0.77	0.089	0.089	0.09	0.09	0.091	0.747	0.67	0.649	0.09	0.767	0.819	0.763	0.09	0.091	0.091	0.09	0.09	0.712	0.714	0.661	0.09	0.769	0.803	0.775	0.09	0.09	0.09	0.09	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.089	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.091	0.09	0.093	0.091	0.091	0.089
0.09	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.73	0.675	0.657	0.09	0.791	0.782	0.741	0.09	0.089	0.089	0.09	0.09	0.787	0.703	0.67	0.09	0.748	0.788	0.77	0.089	0.089	0.09	0.09	0.091	0.747	0.667	0.651	0.09	0.764	0.818	0.765	0.09	0.091	0.091	0.09	0.09	0.711	0.714	0.661	0.09	0.772	0.802	0.777	0.091	0.09	0.09	0.096	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.091	0.09	0.093	0.091	0.091	0.089
0.091	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.727	0.673	0.66	0.09	0.791	0.78	0.744	0.09	0.089	0.089	0.09	0.09	0.784	0.702	0.668	0.09	0.743	0.786	0.772	0.089	0.089	0.09	0.09	0.091	0.745	0.669	0.65	0.09	0.765	0.819	0.767	0.09	0.091	0.091	0.09	0.09	0.709	0.713	0.658	0.09	0.771	0.803	0.776	0.091	0.09	0.09	0.096	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.089	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.09	0.09	0.093	0.091	0.091	0.089
0.091	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.095	0.09	0.089	0.09	0.725	0.685	0.655	0.09	0.791	0.779	0.739	0.09	0.089	0.089	0.09	0.09	0.783	0.709	0.672	0.09	0.745	0.787	0.772	0.089	0.089	0.09	0.09	0.091	0.743	0.668	0.649	0.09	0.762	0.818	0.766	0.09	0.091	0.091	0.09	0.09	0.708	0.71	0.656	0.09	0.772	0.803	0.778	0.091	0.09	0.09	0.096	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.091	0.09	0.092	0.091	0.091	0.089
0.091	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.724	0.67	0.652	0.09	0.79	0.782	0.739	0.09	0.089	0.089	0.09	0.09	0.781	0.701	0.665	0.09	0.741	0.785	0.773	0.089	0.089	0.09	0.09	0.091	0.742	0.67	0.647	0.09	0.762	0.819	0.767	0.09	0.091	0.091	0.09	0.09	0.706	0.71	0.658	0.09	0.768	0.803	0.777	0.091	0.09	0.09	0.096	0.091	0.092	0.092	0.091	0.09	0.092	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.09	0.089	0.091	0.092	0.09	0.092	0.095	0.09	0.09	0.093	0.091	0.091	0.09
0.091	0.091	0.089	0.09	0.09	0.09	0.091	0.089	0.09	0.096	0.09	0.089	0.09	0.72	0.671	0.652	0.09	0.788	0.781	0.742	0.09	0.089	0.089	0.09	0.09	0.781	0.701	0.666	0.09	0.741	0.785	0.773	0.089	0.089	0.09	0.09	0.091	0.741	0.667	0.648	0.091	0.761	0.82	0.764	0.09	0.091	0.091	0.09	0.09	0.706	0.711	0.657	0.09	0.768	0.801	0.776	0.091	0.09	0.09	0.096	0.091	0.093	0.092	0.091	0.09	0.093	0.091	0.091	0.09	0.089	0.09	0.091	0.09	0.09	0.091	0.09	0.091	0.09	0.091	0.089	0.09	0.09	0.091	0.091	0.089	0.091	0.092	0.09	0.092	0.095	0.091	0.09	0.093	0.091	0.091	0.089
